Ma_Don_Hang,Ngay_Dat_Hang,DanhMuc,So_Luong,Don_Gia,Trang_Thai,Thanh_Pho,Doanh_Thu,Thang,Thang_Nam
DH392,2025-10-15,Thời trang,10,1527000,Đang giao,Hà Nội,15270000,10,2025-10
DH363,2025-10-15,Gia dụng,3,2838000,Hoàn thành,Hà Nội,8514000,10,2025-10
DH761,2025-10-15,Điện tử,2,1173000,Đang giao,Cần Thơ,2346000,10,2025-10
DH723,2025-10-16,Thời trang,1,565000,Hoàn thành,Cần Thơ,565000,10,2025-10
DH479,2025-10-16,Điện tử,1,1002000,Đang giao,TP.HCM,1002000,10,2025-10
DH300,2025-10-16,Điện tử,4,1606000,Hoàn thành,TP.HCM,6424000,10,2025-10
DH106,2025-10-16,Thời trang,2,2919000,Hoàn thành,Cần Thơ,5838000,10,2025-10
DH489,2025-10-17,Thời trang,5,3971000,Hoàn thành,Cần Thơ,19855000,10,2025-10
DH449,2025-10-17,Sách,10,2200000,Hoàn thành,TP.HCM,22000000,10,2025-10
DH627,2025-10-19,Điện tử,8,582000,Hoàn thành,TP.HCM,4656000,10,2025-10
DH119,2025-10-20,Gia dụng,7,4796000,Hoàn thành,Đà Nẵng,33572000,10,2025-10
DH021,2025-10-21,Điện tử,8,3346000,Hoàn thành,Hà Nội,26768000,10,2025-10
DH227,2025-10-21,Thời trang,1,1015000,Hoàn thành,Cần Thơ,1015000,10,2025-10
DH791,2025-10-21,Sách,5,4060000,Hoàn thành,TP.HCM,20300000,10,2025-10
DH200,2025-10-22,Gia dụng,9,2035000,Hoàn thành,TP.HCM,18315000,10,2025-10
DH081,2025-10-23,Thời trang,10,2783000,Hoàn thành,Đà Nẵng,27830000,10,2025-10
DH256,2025-10-25,Gia dụng,6,2568000,Đang giao,TP.HCM,15408000,10,2025-10
DH370,2025-10-26,Gia dụng,4,1985000,Hoàn thành,Đà Nẵng,7940000,10,2025-10
DH094,2025-10-28,Thời trang,8,3924000,Hoàn thành,Cần Thơ,31392000,10,2025-10
DH625,2025-10-28,Sách,3,4277000,Hoàn thành,Cần Thơ,12831000,10,2025-10
DH521,2025-10-29,Gia dụng,8,500000,Hoàn thành,TP.HCM,4000000,10,2025-10
DH662,2025-10-30,Gia dụng,7,3301000,Hoàn thành,TP.HCM,23107000,10,2025-10
DH781,2025-10-30,Điện tử,3,4354000,Hoàn thành,TP.HCM,13062000,10,2025-10
DH714,2025-10-30,Sách,10,2431000,Hoàn thành,Đà Nẵng,24310000,10,2025-10
DH302,2025-10-31,Sách,3,2709000,Hoàn thành,TP.HCM,8127000,10,2025-10
DH076,2025-10-31,Thời trang,2,4207000,Hoàn thành,Cần Thơ,8414000,10,2025-10
DH274,2025-10-31,Thời trang,1,1731000,Hoàn thành,Hà Nội,1731000,10,2025-10
DH405,2025-11-01,Sách,8,3617000,Hoàn thành,Cần Thơ,28936000,11,2025-11
DH675,2025-11-01,Gia dụng,3,4573000,Hoàn thành,Đà Nẵng,13719000,11,2025-11
DH772,2025-11-02,Thời trang,10,510000,Hoàn thành,Đà Nẵng,5100000,11,2025-11
DH378,2025-11-02,Sách,1,4786000,Hoàn thành,Hà Nội,4786000,11,2025-11
DH792,2025-11-02,Điện tử,5,4797000,Hoàn thành,Cần Thơ,23985000,11,2025-11
DH043,2025-11-03,Sách,1,4362000,Hoàn thành,TP.HCM,4362000,11,2025-11
DH187,2025-11-03,Điện tử,4,1021000,Hoàn thành,Đà Nẵng,4084000,11,2025-11
DH425,2025-11-04,Gia dụng,7,2565000,Hoàn thành,TP.HCM,17955000,11,2025-11
DH248,2025-11-04,Gia dụng,2,142000,Hoàn thành,Hà Nội,284000,11,2025-11
DH798,2025-11-04,Thời trang,6,4159000,Hoàn thành,Cần Thơ,24954000,11,2025-11
DH018,2025-11-05,Sách,5,1355000,Hoàn thành,TP.HCM,6775000,11,2025-11
DH294,2025-11-06,Sách,3,935000,Hoàn thành,Hà Nội,2805000,11,2025-11
DH068,2025-11-06,Điện tử,7,2928000,Hoàn thành,Hà Nội,20496000,11,2025-11
DH424,2025-11-07,Gia dụng,3,2494000,Hoàn thành,Cần Thơ,7482000,11,2025-11
DH741,2025-11-07,Thời trang,5,127000,Hoàn thành,TP.HCM,635000,11,2025-11
DH716,2025-11-08,Điện tử,10,1862000,Đang giao,Đà Nẵng,18620000,11,2025-11
DH653,2025-11-08,Gia dụng,2,4673000,Hoàn thành,Đà Nẵng,9346000,11,2025-11
DH778,2025-11-09,Gia dụng,5,805000,Hoàn thành,Đà Nẵng,4025000,11,2025-11
DH381,2025-11-09,Điện tử,4,3918000,Hoàn thành,Đà Nẵng,15672000,11,2025-11
DH534,2025-11-10,Điện tử,6,838000,Hoàn thành,TP.HCM,5028000,11,2025-11
DH025,2025-11-10,Thời trang,8,3006000,Hoàn thành,Hà Nội,24048000,11,2025-11
DH402,2025-11-10,Sách,9,1344000,Hoàn thành,Cần Thơ,12096000,11,2025-11
DH191,2025-11-11,Thời trang,8,1881000,Hoàn thành,Hà Nội,15048000,11,2025-11
DH735,2025-11-11,Sách,3,2727000,Hoàn thành,Hà Nội,8181000,11,2025-11
DH695,2025-11-12,Thời trang,1,525000,Hoàn thành,Cần Thơ,525000,11,2025-11
DH050,2025-11-12,Gia dụng,5,3374000,Hoàn thành,Đà Nẵng,16870000,11,2025-11
DH380,2025-11-12,Thời trang,1,4792000,Hoàn thành,Hà Nội,4792000,11,2025-11
DH647,2025-11-13,Sách,2,358000,Hoàn thành,Hà Nội,716000,11,2025-11
DH323,2025-11-13,Gia dụng,9,534000,Hoàn thành,TP.HCM,4806000,11,2025-11
DH661,2025-11-13,Điện tử,4,2181000,Hoàn thành,Hà Nội,8724000,11,2025-11
DH197,2025-11-14,Thời trang,10,3865000,Hoàn thành,Hà Nội,38650000,11,2025-11
DH184,2025-11-14,Điện tử,8,2593000,Hoàn thành,Đà Nẵng,20744000,11,2025-11
DH441,2025-11-14,Thời trang,10,3946000,Hoàn thành,Cần Thơ,39460000,11,2025-11
DH434,2025-11-15,Sách,2,1615000,Hoàn thành,Cần Thơ,3230000,11,2025-11
DH041,2025-11-16,Sách,9,4778000,Đang giao,TP.HCM,43002000,11,2025-11
DH620,2025-11-17,Sách,6,1466000,Hoàn thành,Hà Nội,8796000,11,2025-11
DH391,2025-11-18,Thời trang,2,2215000,Hoàn thành,Cần Thơ,4430000,11,2025-11
DH351,2025-11-19,Gia dụng,1,739000,Hoàn thành,Đà Nẵng,739000,11,2025-11
DH512,2025-11-19,Thời trang,10,3607000,Hoàn thành,Hà Nội,36070000,11,2025-11
DH358,2025-11-19,Gia dụng,1,2578000,Hoàn thành,Hà Nội,2578000,11,2025-11
DH222,2025-11-20,Điện tử,1,1777000,Hoàn thành,Hà Nội,1777000,11,2025-11
DH229,2025-11-21,Thời trang,9,2211000,Hoàn thành,Hà Nội,19899000,11,2025-11
DH496,2025-11-21,Điện tử,4,983000,Hoàn thành,TP.HCM,3932000,11,2025-11
DH487,2025-11-21,Điện tử,7,4514000,Hoàn thành,TP.HCM,31598000,11,2025-11
DH238,2025-11-22,Thời trang,3,1723000,Hoàn thành,TP.HCM,5169000,11,2025-11
DH408,2025-11-22,Điện tử,7,2464000,Hoàn thành,Hà Nội,17248000,11,2025-11
DH623,2025-11-23,Gia dụng,9,2524000,Hoàn thành,Đà Nẵng,22716000,11,2025-11
DH154,2025-11-23,Sách,3,1594000,Hoàn thành,Cần Thơ,4782000,11,2025-11
DH097,2025-11-23,Sách,6,3418000,Hoàn thành,TP.HCM,20508000,11,2025-11
DH113,2025-11-24,Thời trang,5,4252000,Hoàn thành,Cần Thơ,21260000,11,2025-11
DH046,2025-11-25,Sách,8,3463000,Hoàn thành,TP.HCM,27704000,11,2025-11
DH683,2025-11-26,Sách,4,1354000,Hoàn thành,Cần Thơ,5416000,11,2025-11
DH515,2025-11-26,Gia dụng,10,1913000,Hoàn thành,Cần Thơ,19130000,11,2025-11
DH598,2025-11-27,Gia dụng,1,2569000,Hoàn thành,Đà Nẵng,2569000,11,2025-11
DH011,2025-11-27,Điện tử,3,2419000,Hoàn thành,Đà Nẵng,7257000,11,2025-11
DH170,2025-11-27,Gia dụng,9,2677000,Hoàn thành,Đà Nẵng,24093000,11,2025-11
DH796,2025-12-01,Gia dụng,2,3095000,Hoàn thành,Đà Nẵng,6190000,12,2025-12
DH500,2025-12-02,Sách,1,2142000,Hoàn thành,Hà Nội,2142000,12,2025-12
DH526,2025-12-03,Sách,9,3727000,Hoàn thành,Đà Nẵng,33543000,12,2025-12
DH794,2025-12-04,Gia dụng,6,2820000,Hoàn thành,Đà Nẵng,16920000,12,2025-12
DH251,2025-12-04,Thời trang,1,679000,Hoàn thành,Hà Nội,679000,12,2025-12
DH577,2025-12-05,Gia dụng,8,4520000,Đang giao,Đà Nẵng,36160000,12,2025-12
DH617,2025-12-05,Điện tử,4,4168000,Hoàn thành,TP.HCM,16672000,12,2025-12
DH168,2025-12-06,Điện tử,7,4307000,Hoàn thành,TP.HCM,30149000,12,2025-12
DH504,2025-12-06,Điện tử,3,2213000,Hoàn thành,TP.HCM,6639000,12,2025-12
DH784,2025-12-07,Thời trang,1,1600000,Đang giao,Đà Nẵng,1600000,12,2025-12
DH476,2025-12-07,Gia dụng,2,4909000,Hoàn thành,Đà Nẵng,9818000,12,2025-12
DH565,2025-12-08,Sách,6,3881000,Hoàn thành,Đà Nẵng,23286000,12,2025-12
DH404,2025-12-08,Sách,8,1293000,Hoàn thành,Đà Nẵng,10344000,12,2025-12
DH364,2025-12-08,Gia dụng,8,4526000,Hoàn thành,Đà Nẵng,36208000,12,2025-12
DH621,2025-12-08,Gia dụng,2,628000,Hoàn thành,Cần Thơ,1256000,12,2025-12
DH734,2025-12-08,Thời trang,2,1439000,Hoàn thành,Đà Nẵng,2878000,12,2025-12
DH394,2025-12-08,Gia dụng,1,1770000,Hoàn thành,Cần Thơ,1770000,12,2025-12
DH211,2025-12-09,Sách,5,3332000,Hoàn thành,Cần Thơ,16660000,12,2025-12
DH099,2025-12-10,Gia dụng,2,4390000,Hoàn thành,TP.HCM,8780000,12,2025-12
DH096,2025-12-11,Điện tử,4,2309000,Hoàn thành,Hà Nội,9236000,12,2025-12
DH029,2025-12-11,Gia dụng,3,1321000,Hoàn thành,Hà Nội,3963000,12,2025-12
DH054,2025-12-12,Thời trang,9,2185000,Hoàn thành,Đà Nẵng,19665000,12,2025-12
DH136,2025-12-12,Điện tử,8,1583000,Hoàn thành,Hà Nội,12664000,12,2025-12
DH243,2025-12-12,Sách,7,453000,Đang giao,Cần Thơ,3171000,12,2025-12
DH261,2025-12-12,Gia dụng,2,2295000,Hoàn thành,Cần Thơ,4590000,12,2025-12
DH438,2025-12-12,Thời trang,8,4748000,Hoàn thành,Cần Thơ,37984000,12,2025-12
DH797,2025-12-13,Thời trang,3,320000,Hoàn thành,Đà Nẵng,960000,12,2025-12
DH650,2025-12-14,Điện tử,5,3982000,Hoàn thành,Cần Thơ,19910000,12,2025-12
DH172,2025-12-14,Điện tử,4,552000,Hoàn thành,Hà Nội,2208000,12,2025-12
DH763,2025-12-14,Điện tử,10,3381000,Hoàn thành,Đà Nẵng,33810000,12,2025-12
DH690,2025-12-14,Thời trang,7,4357000,Hoàn thành,TP.HCM,30499000,12,2025-12
DH002,2025-12-15,Sách,6,4958000,Đang giao,Hà Nội,29748000,12,2025-12
DH239,2025-12-15,Thời trang,7,1830000,Đang giao,Hà Nội,12810000,12,2025-12
DH461,2025-12-15,Gia dụng,10,1627000,Hoàn thành,TP.HCM,16270000,12,2025-12
DH340,2025-12-15,Gia dụng,4,3021000,Đang giao,Hà Nội,12084000,12,2025-12
DH291,2025-12-15,Điện tử,2,1800000,Hoàn thành,TP.HCM,3600000,12,2025-12
DH421,2025-12-16,Sách,9,3098000,Hoàn thành,TP.HCM,27882000,12,2025-12
DH744,2025-12-17,Điện tử,2,1407000,Hoàn thành,Cần Thơ,2814000,12,2025-12
DH075,2025-12-17,Điện tử,7,2854000,Hoàn thành,Hà Nội,19978000,12,2025-12
DH246,2025-12-18,Điện tử,2,2796000,Hoàn thành,Hà Nội,5592000,12,2025-12
DH140,2025-12-18,Thời trang,5,3240000,Hoàn thành,Cần Thơ,16200000,12,2025-12
DH390,2025-12-20,Thời trang,2,1388000,Hoàn thành,Cần Thơ,2776000,12,2025-12
DH377,2025-12-21,Gia dụng,1,3430000,Hoàn thành,TP.HCM,3430000,12,2025-12
DH558,2025-12-21,Điện tử,9,4868000,Đang giao,Đà Nẵng,43812000,12,2025-12
DH423,2025-12-21,Thời trang,10,231000,Hoàn thành,Hà Nội,2310000,12,2025-12
DH699,2025-12-23,Điện tử,4,2198000,Đang giao,Cần Thơ,8792000,12,2025-12
DH482,2025-12-23,Thời trang,8,1017000,Hoàn thành,Hà Nội,8136000,12,2025-12
DH686,2025-12-24,Thời trang,1,4998000,Hoàn thành,Đà Nẵng,4998000,12,2025-12
DH746,2025-12-24,Thời trang,7,145000,Hoàn thành,Hà Nội,1015000,12,2025-12
DH181,2025-12-25,Gia dụng,3,1735000,Đang giao,Cần Thơ,5205000,12,2025-12
DH063,2025-12-26,Thời trang,7,776000,Hoàn thành,Đà Nẵng,5432000,12,2025-12
DH359,2025-12-26,Gia dụng,6,3149000,Hoàn thành,Đà Nẵng,18894000,12,2025-12
DH252,2025-12-26,Sách,8,2009000,Hoàn thành,Đà Nẵng,16072000,12,2025-12
DH122,2025-12-26,Gia dụng,1,891000,Hoàn thành,Hà Nội,891000,12,2025-12
DH014,2025-12-26,Sách,2,2933000,Hoàn thành,Đà Nẵng,5866000,12,2025-12
DH559,2025-12-27,Sách,2,874000,Hoàn thành,Cần Thơ,1748000,12,2025-12
DH648,2025-12-27,Điện tử,9,3897000,Hoàn thành,TP.HCM,35073000,12,2025-12
DH631,2025-12-30,Gia dụng,5,338000,Hoàn thành,Hà Nội,1690000,12,2025-12
DH038,2025-12-30,Gia dụng,1,4622000,Hoàn thành,TP.HCM,4622000,12,2025-12
DH420,2025-12-31,Gia dụng,7,1878000,Hoàn thành,Hà Nội,13146000,12,2025-12
DH313,2025-12-31,Gia dụng,1,501000,Hoàn thành,Đà Nẵng,501000,12,2025-12
